Name	Price	Link
LG V30	R$ 1,562	https://www.kimovil.com/en/where-to-buy-lg-v30-plus
LG G6	R$ 1,387	https://www.kimovil.com/en/where-to-buy-lg-g6eu-lgh870-dualsim
Samsung Galaxy S8+	R$ 2,386	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus-6gb-128gb
Samsung Galaxy S7 Edge	R$ 1,752	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s7-edge-eu
Xiaomi Black Shark Helo	R$ 1,768	https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo
Xiaomi Black Shark Helo	R$ 1,851	https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo-8gb
Huawei Honor Magic 2	R$ 1,785	https://www.kimovil.com/en/where-to-buy-huawei-honor-magic-2-8gb-tny-tl00
Lenovo Z5 Pro	R$ 1,157	https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-128gb
Vivo NEX Dual Display	R$ 2,682	https://www.kimovil.com/en/where-to-buy-vivo-nex-dual-display
Lenovo Z5 Pro GT	R$ 2,665	https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt-8gb-256gb
UMIDIGI F1	R$ 699	https://www.kimovil.com/en/where-to-buy-umidigi-f1-global
Meizu Note 9	R$ 747	https://www.kimovil.com/en/where-to-buy-meizu-note-9
Redmi Note 7	R$ 1,083	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-cn-128gb
Oppo F11 Pro	--	https://www.kimovil.com/en/where-to-buy-oppo-f11-pro
Vivo iQoo	R$ 1,902	https://www.kimovil.com/en/where-to-buy-vivo-iqoo
Xiaomi Mi8 Lite	R$ 678	https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite
Xiaomi Mi8 Lite	R$ 799	https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-6gb
Xiaomi Mi8 Lite	R$ 977	https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite6gb-128gb
Ulefone Armor 3	R$ 912	https://www.kimovil.com/en/where-to-buy-ulefone-armor-3
Nokia 8.1	R$ 1,389	https://www.kimovil.com/en/where-to-buy-nokia-8-1
Razer Phone 2	R$ 2,435	https://www.kimovil.com/en/where-to-buy-razer-phone-2
Huawei Mate 20	R$ 2,738	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-6gb-128gb-al00
Huawei Honor Magic 2	R$ 1,682	https://www.kimovil.com/en/where-to-buy-huawei-honor-magic-2
Asus Zenfone 5	R$ 1,019	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5-ze620kl
Meizu 15 Plus	R$ 1,956	https://www.kimovil.com/en/where-to-buy-meizu-15-plus-6gb-128gb
UMIDIGI Z2 Pro	R$ 776	https://www.kimovil.com/en/where-to-buy-umidigi-z2-pro
Meizu 15 Plus	R$ 2,212	https://www.kimovil.com/en/where-to-buy-meizu-15-plus-6gb-128gb-global
Meizu Note 9	R$ 910	https://www.kimovil.com/en/where-to-buy-meizu-note-9m923h-4gb-128gb-global
Huawei P30 Pro	R$ 4,530	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-512gb-al00
Google Pixel 3a XL	--	https://www.kimovil.com/en/where-to-buy-google-pixel-3a-xl-g020c
UMIDIGI A5 Pro	R$ 398	https://www.kimovil.com/en/where-to-buy-umidigi-a5-pro
Asus ZenFone 6	R$ 2,542	https://www.kimovil.com/en/where-to-buy-asus-zenfone-6eu-6gb-128gb
Asus Zenfone 5z	R$ 2,199	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va-4gb-64gb
Samsung Galaxy Note 8	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-8-usa
Samsung Galaxy Note 8	R$ 2,159	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-8-dual-sim
Xiaomi Mi Note 3	R$ 788	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3
Huawei Mate 10 Pro	--	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro-l29
Huawei Mate 10	--	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-porsche-design
OnePlus 5	R$ 1,690	https://www.kimovil.com/en/where-to-buy-oneplus-5-a5000-plus
Vivo NEX S	R$ 3,414	https://www.kimovil.com/en/where-to-buy-vivo-nex-ultimate-8gb-256gb
Asus Zenfone 5z	R$ 2,422	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-vc-6gb-128gb
Ulefone Armor 3T	R$ 990	https://www.kimovil.com/en/where-to-buy-ulefone-armor-3t-antena
Nubia X	R$ 1,772	https://www.kimovil.com/en/where-to-buy-nubia-x-128gb
Oppo R17 Pro	--	https://www.kimovil.com/en/where-to-buy-oppo-r17-pro-6gb
Nubia Red Magic Mars	R$ 1,874	https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars-8gb-128gb
Oneplus 6T	R$ 3,982	https://www.kimovil.com/en/where-to-buy-oneplus-6t-mclaren-eu
Sony Xperia XZ3	R$ 2,314	https://www.kimovil.com/en/where-to-buy-sony-xperia-xz3-h9493
Asus ZenFone Max Pro (M2)	--	https://www.kimovil.com/en/where-to-buy-asus-zenfone-max-pro-m2
Nokia 8.1	--	https://www.kimovil.com/en/where-to-buy-nokia-8-1-india
Vivo V15 Pro	R$ 1,577	https://www.kimovil.com/en/where-to-buy-vivo-v15-pro
Lenovo S5 Pro	R$ 629	https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro-6gb-128gb
Vivo iQOO	R$ 2,251	https://www.kimovil.com/en/where-to-buy-vivo-iqoo-8gb-128gb
Meizu Note 9	R$ 1,125	https://www.kimovil.com/en/where-to-buy-meizu-note-9-128gb
Oppo F11 Pro	--	https://www.kimovil.com/en/where-to-buy-oppo-f11-6gb-64gb
Google Pixel 3 XL	R$ 2,951	https://www.kimovil.com/en/where-to-buy-google-pixel-3-xl
Lenovo S5 Pro	R$ 647	https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro
Huawei Mate 20 PRO	R$ 3,614	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-8gb-256gb-al10
Sony Xperia XZ2 Premium	R$ 1,992	https://www.kimovil.com/en/where-to-buy-sony-xperia-xz2-premium
Samsung Galaxy S9+	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-6gb-256gb
UMIDIGI Z2	R$ 523	https://www.kimovil.com/en/where-to-buy-umidigi-z2
Nubia Z18	R$ 1,743	https://www.kimovil.com/en/where-to-buy-nubia-z18-8gb-128gb
Huawei Honor 10	R$ 983	https://www.kimovil.com/en/where-to-buy-huawei-honor-10-eu-128gb
Vivo V15 Pro	--	https://www.kimovil.com/en/where-to-buy-vivo-v15-pro-india
Oppo Reno	--	https://www.kimovil.com/en/where-to-buy-oppo-reno
Oppo Reno	--	https://www.kimovil.com/en/where-to-buy-oppo-reno-8gb-256gb-global-v3
Vivo V15 Pro	R$ 1,577	https://www.kimovil.com/en/where-to-buy-vivo-v15-pro-global
Vivo V15 Pro	--	https://www.kimovil.com/en/where-to-buy-vivo-v15-pro-india-8gb-128gb
Realme X Lite	R$ 1,087	https://www.kimovil.com/en/where-to-buy-realme-x-lite-6gb-64gb
Nokia 8.1	--	https://www.kimovil.com/en/where-to-buy-nokia-8-1-india-6gb-128gb
LG G6	R$ 1,352	https://www.kimovil.com/en/where-to-buy-lg-g6lgh870ds-128gb
Xiaomi Mi6	--	https://www.kimovil.com/en/where-to-buy-xiaomi-mi66gb-64gb-global
Asus ZenFone 4 ZE554KL	R$ 658	https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-sd660
