Name,Price,Link,Antutu,Custo Benefício
Nokia 8,1370,https://www.kimovil.com/en/where-to-buy-nokia-8,207434,00151
Xiaomi Black Shark,1940,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark8gb-128gb-global,294520,00151
OnePlus 6,1947,https://www.kimovil.com/en/where-to-buy-oneplus-6,292275,00150
Pocophone F1,1966,https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-armoured-edition,296100,00150
Asus Zenfone 5z,1828,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5zzs620kl-vc-6gb-64gb,274499,00150
Xiaomi Mi5s Plus,1095,https://www.kimovil.com/en/where-to-buy-xiaomi-mi5s-plus,165110,00150
Sony Xperia XZ2,1775,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz2-dual-sim-6gb-64gb,266078,00149
Nubia X,1844,https://www.kimovil.com/en/where-to-buy-nubia-x-128gb,275000,00149
Meizu M15,545,https://www.kimovil.com/en/where-to-buy-meizu-15-lite,81249,00149
Xiaomi Mi8 Lite,967,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite6gb-128gb,143942,00148
Asus ZenFone Max Pro (M1),785,https://www.kimovil.com/en/where-to-buy-asus-zenfone-max-pro-m1-6gb-64gb,116618,00148
Lenovo Z5,774,https://www.kimovil.com/en/where-to-buy-lenovo-z5-128gb,115000,00148
Lenovo Z5s,1118,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-6gb-128gb-global,166232,00148
Xiaomi Redmi 5 Plus,516,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-5-plus,76883,00148
Asus ZenFone 6,2475,https://www.kimovil.com/en/where-to-buy-asus-zenfone-6eu-6gb-128gb,365000,00147
Asus ZenFone 4 ZE554KL,694,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-sd660,102356,00147
Motorola P30 Note,778,https://www.kimovil.com/en/where-to-buy-motorola-p30-note,115000,00147
Xiaomi Mi 9 SE,1212,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-se,177243,00146
Xiaomi Mi MIX 2,1414,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-6gb-128gb,206574,00146
Xiaomi Mi A1,533,https://www.kimovil.com/en/where-to-buy-xiaomi-mia1,78150,00146
Xiaomi Mi A1,533,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a1-32gb,78150,00146
OnePlus 7,2483,https://www.kimovil.com/en/where-to-buy-oneplus-7-12gb-256gb-cn,362000,00145
Xiaomi Mi8 Pro,1868,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-8gb-128gb-pro,271164,00145
Xiaomi Redmi 6 Pro,613,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-6-pro-4gb-64gb,89000,00145
Nubia Red Magic 3,2626,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-3-8gb-128gb-nx628j,377000,00143
Google Pixel 2 XL,1417,https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl,203768,00143
Redmi Note 7,1010,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-cn-4gb-128gb,144599,00143
Nubia Red Magic,1499,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-8gb-128gb,214580,00143
Lenovo S5 Pro GT,977,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro-gt,140000,00143
Xiaomi Mi Mix 2,1452,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2,206574,00142
Nubia X,1926,https://www.kimovil.com/en/where-to-buy-nubia-x,275000,00142
Meizu 15,942,https://www.kimovil.com/en/where-to-buy-meizu-15-64gb-global,134170,00142
Sharp Z3,525,https://www.kimovil.com/en/where-to-buy-sharp-z3,75000,00142
OnePlus 7,2561,https://www.kimovil.com/en/where-to-buy-oneplus-7,362000,00141
Google Pixel 2 XL,1436,https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl-128gb,203768,00141
Xiaomi Black Shark 2,2786,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global-12gb,395000,00141
Xiaomi Black Shark Helo,1962,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo,275000,00140
LeEco Le Pro 3 X720,1214,https://www.kimovil.com/en/where-to-buy-leeco-le-pro-34gb-64gb,169963,00140
Xiaomi Redmi 6 Pro,634,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-6-pro-4gb,89000,00140
Xiaomi Mi 9 SE,1274,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-se-128gb,177243,00139
LG G7+ ThinQ,1803,https://www.kimovil.com/en/where-to-buy-lg-g7-thinq-6gb,250000,00138
Meizu 16,1188,https://www.kimovil.com/en/where-to-buy-meizu-16-128gb-global,164726,00138
LG G7 ThinQ,1803,https://www.kimovil.com/en/where-to-buy-lg-g7-thinq-in-cn,250000,00138
Asus ZenFone 4 ZE554KL,737,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-cn-sd660,102356,00138
Xiaomi Mi A2 Lite,551,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2-lite,76500,00138
Xiaomi Redmi Note 4,549,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-4-global-3gb-32gb,75984,00138
OnePlus 6,2120,https://www.kimovil.com/en/where-to-buy-oneplus-6-eu-128gb,292275,00137
Xiaomi Mi8,1979,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-8gb,271164,00137
OnePlus 6,2130,https://www.kimovil.com/en/where-to-buy-oneplus-6-8gb-256gb,292275,00137
Meizu M15,590,https://www.kimovil.com/en/where-to-buy-meizu-15-lite-64gb,81249,00137
OnePlus 6,2138,https://www.kimovil.com/en/where-to-buy-oneplus-6-eu-256gb,292275,00136
Xiaomi Mi 9 SE,1298,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-se-6gb-128gb-global,177243,00136
OnePlus 5T,1557,https://www.kimovil.com/en/where-to-buy-oneplus-5t-8gb-128gb,212558,00136
Xiaomi Black Shark Helo,2008,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo-8gb,275000,00136
Xiaomi Redmi Note 5,852,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-5-6gb-64gb,116663,00136
Xiaomi Redmi 5 Plus,565,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-5-plus-4gb-64gb,76883,00136
Sharp Aquos S3,525,https://www.kimovil.com/en/where-to-buy-sharp-aquos-s3-4gb-64gb,71289,00135
Smartisan Nut Pro 2,1049,https://www.kimovil.com/en/where-to-buy-smartisan-nut-pro-2-6gb-64gb,142195,00135
OnePlus 7 Pro,2716,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-cn,364025,00134
Vivo NEX S,2164,https://www.kimovil.com/en/where-to-buy-vivo-nex-ultimate,291277,00134
Nubia Z17,1555,https://www.kimovil.com/en/where-to-buy-nubia-z17,208922,00134
Pocophone F1,2222,https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-256gb,296100,00133
Lenovo Z5 Pro GT,2774,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt-8gb-256gb,371273,00133
Nubia Z17 MiniS,607,https://www.kimovil.com/en/where-to-buy-nubia-z17-minis,81236,00133
AGM X3,2028,https://www.kimovil.com/en/where-to-buy-agm-x3,270000,00133
LeEco Le S3,568,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-s3-3gb-x522,75901,00133
Asus Zenfone 5z,2072,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z,274499,00132
Lenovo Z5 Pro,1266,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro,166380,00131
Samsung Galaxy A8s,1291,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a8s,170000,00131
Sharp Aquos S3,541,https://www.kimovil.com/en/where-to-buy-sharp-aquos-s3,71289,00131
Lenovo S5 Pro GT,1062,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro-gt-6gb,140000,00131
Xiaomi Redmi 6 Pro,676,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-6-pro,89000,00131
Xiaomi Black Shark 2,3032,https://www.kimovil.com/en/where-to-buy-black-shark-2,395000,00130
OnePlus 7,2791,https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-global,362000,00129
Oneplus 6T,2294,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-256gb,297132,00129
Asus ZenFone Max Pro (M1),899,https://www.kimovil.com/en/where-to-buy-asus-zenfone-max-pro-m1-am,116618,00129
Sony Xperia XZ2 Premium,2074,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz2-premium,265507,00128
Xiaomi Mi Max 3,924,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-max-3,118397,00128
Xiaomi Mi 6x,1032,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6x-6gb-128gb,133086,00128
Xiaomi Mi Max 3,938,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-max-3global-4gb-64gb-cn,118397,00126
Xiaomi Mi A2 Lite,611,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2-lite-4gb-64gb,76500,00125
Smartisan Nut Pro 2S,1383,https://www.kimovil.com/en/where-to-buy-smartisan-nut-pro-2s-4gb,171652,00124
Asus ZenFone 4 ZE554KL,574,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-tw-sd630-2,71200,00124
Asus ZenFone 4 ZE554KL,571,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl,71200,00124
Meizu E3,901,https://www.kimovil.com/en/where-to-buy-meizu-e3,112478,00124
Xiaomi Mi A2 Lite,613,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2-lite-4gb-32gb,76500,00124
Motorola Moto G5s,451,https://www.kimovil.com/en/where-to-buy-motorola-moto-g5s-64,56273,00124
Xiaomi Mi5s,1186,https://www.kimovil.com/en/where-to-buy-xiaomi-mi5s,146988,00123
OnePlus 7 Pro,2970,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro,364025,00122
Nubia Red Magic,1393,https://www.kimovil.com/en/where-to-buy-nubia-red-magic,170000,00122
OnePlus 7 Pro,3002,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-8gb-256gb-cn,364025,00121
Sony Xperia XZ Premium,1653,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz-premium-dual-sim,201445,00121
Xiaomi Mi5s,1210,https://www.kimovil.com/en/where-to-buy-xiaomi-mi5s-4gb-128gb,147213,00121
Oneplus 6T,2458,https://www.kimovil.com/en/where-to-buy-oneplus-6t-8gb-128gb,297132,00120
Samsung Galaxy S7 Edge,1316,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s7-edgesm-g9350-dual,158313,00120
Asus ZenFone 4 ZE554KL,848,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-ww-sd660,102356,00120
Xiaomi Redmi 5 Plus,637,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-5-plus-global,76526,00120
OnePlus 5,1759,https://www.kimovil.com/en/where-to-buy-oneplus-5-a5000-plus,210069,00119
Samsung Galaxy A70,1434,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a70,170979,00119
Xiaomi Black Shark,2458,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark8gb-256gb,294520,00119
Xiaomi Mi8 Explorer Edition,2286,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-explorer-edition,271164,00118
Motorola P30 Note,969,https://www.kimovil.com/en/where-to-buy-motorola-one-power-cn-6gb-64gb,115000,00118
Samsung Galaxy S9,2236,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9,261918,00117
Asus ZenFone Max Pro (M1),994,https://www.kimovil.com/en/where-to-buy-asus-zenfone-max-pro-m1,116618,00117
nubia Z17 Lite,705,https://www.kimovil.com/en/where-to-buy-nubia-z17-lite,83163,00117
Nubia M2,646,https://www.kimovil.com/en/where-to-buy-nubia-m2,76000,00117
Motorola P30,987,https://www.kimovil.com/en/where-to-buy-motorola-p30-6gb-64gb,115000,00116
Lenovo Z5s,1436,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-128gb,166232,00115
