Name,Price,Link,Antutu
Samsung Galaxy Note 8,2564,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-8n-950fd-dual-sim-128gb,199868
Oppo R11s Plus,1222,https://www.kimovil.com/en/where-to-buy-oppo-r11s-plus,137883
HTC U11+,1875,https://www.kimovil.com/en/where-to-buy-htc-u11-plus,180000
Smartisan Nut Pro 2,881,https://www.kimovil.com/en/where-to-buy-smartisan-nut-pro-2-4gb-64gb,142195
Smartisan Nut Pro 2,1014,https://www.kimovil.com/en/where-to-buy-smartisan-nut-pro-2-6gb-64gb,142195
Xiaomi Mi6,1373,https://www.kimovil.com/en/where-to-buy-xiaomi-mi6-4gb-64gb,205176
Vivo NEX,2331,https://www.kimovil.com/en/where-to-buy-vivo-nex,167006
Huawei Honor Note 10,1213,https://www.kimovil.com/en/where-to-buy-huawei-honor-note-10,207590
Huawei Honor Note 10,1209,https://www.kimovil.com/en/where-to-buy-huawei-honor-note-10-6gb-128gb-al00,207590
Google Pixel XL,760,https://www.kimovil.com/en/where-to-buy-google-pixel-xl,145387
Google Pixel XL,1439,https://www.kimovil.com/en/where-to-buy-google-pixel-xl128gb,145387
Xiaomi Mi Note 2,721,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-2,164904
Huawei Mate 9,1825,https://www.kimovil.com/en/where-to-buy-huawei-mate-9-al00-4gb-64gb,171653
Meizu Note 8,524,https://www.kimovil.com/en/where-to-buy-meizu-note-8-global,102354
Huawei Honor Magic 2,3532,https://www.kimovil.com/en/where-to-buy-huawei-honor-magic-2-8gb-256gb-tny-tl00,300886
Lenovo Z5s,851,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-6gb-64gb,166232
Oppo RX17 Pro,2347,https://www.kimovil.com/en/where-to-buy-oppo-rx17-pro,170000
Vivo iQoo,2794,https://www.kimovil.com/en/where-to-buy-vivo-iqoo-8gb-256gb,361408
Blackview BV9500,1335,https://www.kimovil.com/en/where-to-buy-blackview-bv9500-pro,85451
Huawei Honor Play,953,https://www.kimovil.com/en/where-to-buy-huawei-honor-play-l29,209437
Asus Zenfone 5,1699,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5-ze620kl-vb-4gb-128gb,136645
